  2017-4-26 11:40:10 | db open 
  2017-4-26 11:40:11 | db connecting... 
  2017-4-26 11:40:11 | db connected 
  2017-4-26 11:47:22 | db open 
  2017-4-26 11:47:23 | db connecting... 
  2017-4-26 11:47:23 | db connected 
  2017-4-26 11:48:47 | db open 
  2017-4-26 11:48:48 | db connecting... 
  2017-4-26 11:48:48 | db connected 
  2017-4-26 11:51:43 | db open 
  2017-4-26 11:51:44 | db connecting... 
  2017-4-26 11:51:44 | db connected 
  2017-4-26 11:56:53 | db open 
  2017-4-26 11:56:54 | db connecting... 
  2017-4-26 11:56:54 | db connected 
  2017-4-26 12:01:25 | db open 
  2017-4-26 12:01:26 | db connecting... 
  2017-4-26 12:01:26 | db connected 
  2017-4-26 12:05:35 | db open 
  2017-4-26 12:05:36 | db connecting... 
  2017-4-26 12:05:36 | db connected 
  2017-4-26 12:10:26 | db open 
  2017-4-26 12:10:27 | db connecting... 
  2017-4-26 12:10:27 | db connected 
  2017-4-26 12:14:23 | db open 
  2017-4-26 12:14:24 | db connecting... 
  2017-4-26 12:14:24 | db connected 
  2017-4-26 14:05:53 | db open 
  2017-4-26 14:05:54 | db connecting... 
  2017-4-26 14:05:54 | db connected 
  2017-4-26 14:10:38 | db open 
  2017-4-26 14:10:39 | db connecting... 
  2017-4-26 14:10:39 | db connected 
  2017-4-26 14:14:47 | db open 
  2017-4-26 14:14:48 | db connecting... 
  2017-4-26 14:14:48 | db connected 
  2017-4-26 14:18:55 | db open 
  2017-4-26 14:18:55 | db connecting... 
  2017-4-26 14:18:56 | db connected 
  2017-4-26 14:19:03 | db open 
  2017-4-26 14:19:04 | db connecting... 
  2017-4-26 14:19:04 | db connected 
  2017-4-26 14:19:46 | db open 
  2017-4-26 14:19:47 | db connecting... 
  2017-4-26 14:19:47 | db connected 
  2017-4-26 14:22:58 | db open 
  2017-4-26 14:22:59 | db connecting... 
  2017-4-26 14:22:59 | db connected 
  2017-4-26 14:40:04 | db open 
  2017-4-26 14:40:05 | db connecting... 
  2017-4-26 14:40:05 | db connected 
  2017-4-26 14:40:52 | db open 
  2017-4-26 14:40:53 | db connecting... 
  2017-4-26 14:40:53 | db connected 
  2017-4-26 14:41:22 | db open 
  2017-4-26 14:41:23 | db connecting... 
